Según hayan o no trabajado antes;Tiempo de búsqueda de empleo;Sexo;Periodo;Total
buscan primer empleo;total;mujeres;1978TI;149,0
buscan primer empleo;total;mujeres;1977TIV;135,1
buscan primer empleo;total;mujeres;1977TIII;134,1
buscan primer empleo;total;mujeres;1977TII;103,5
buscan primer empleo;total;mujeres;1977TI;103,5
buscan primer empleo;total;mujeres;1976TIV;111,9
buscan primer empleo;total;mujeres;1976TIII;106,2
buscan primer empleo;menos de 6 meses;ambos sexos;1995TIV;188,7
buscan primer empleo;menos de 6 meses;ambos sexos;1995TIII;174,0
buscan primer empleo;menos de 6 meses;ambos sexos;1995TII;109,5
buscan primer empleo;menos de 6 meses;ambos sexos;1995TI;149,7
buscan primer empleo;menos de 6 meses;ambos sexos;1994TIV;198,2
buscan primer empleo;menos de 6 meses;ambos sexos;1994TIII;177,4
buscan primer empleo;menos de 6 meses;ambos sexos;1994TII;116,6
buscan primer empleo;menos de 6 meses;ambos sexos;1994TI;139,5
buscan primer empleo;menos de 6 meses;ambos sexos;1993TIV;183,6
buscan primer empleo;menos de 6 meses;ambos sexos;1993TIII;149,8
buscan primer empleo;menos de 6 meses;ambos sexos;1993TII;105,3
buscan primer empleo;menos de 6 meses;ambos sexos;1993TI;125,5
buscan primer empleo;menos de 6 meses;ambos sexos;1992TIV;166,4
buscan primer empleo;menos de 6 meses;ambos sexos;1992TIII;136,3
buscan primer empleo;menos de 6 meses;ambos sexos;1992TII;107,7
buscan primer empleo;menos de 6 meses;ambos sexos;1992TI;107,5
buscan primer empleo;menos de 6 meses;ambos sexos;1991TIV;126,9
buscan primer empleo;menos de 6 meses;ambos sexos;1991TIII;111,3
buscan primer empleo;menos de 6 meses;ambos sexos;1991TII;74,3
buscan primer empleo;menos de 6 meses;ambos sexos;1991TI;92,0
buscan primer empleo;menos de 6 meses;ambos sexos;1990TIV;123,0
buscan primer empleo;menos de 6 meses;ambos sexos;1990TIII;118,6
buscan primer empleo;menos de 6 meses;ambos sexos;1990TII;71,8
buscan primer empleo;menos de 6 meses;ambos sexos;1990TI;101,0
buscan primer empleo;menos de 6 meses;ambos sexos;1989TIV;133,7
buscan primer empleo;menos de 6 meses;ambos sexos;1989TIII;124,2
buscan primer empleo;menos de 6 meses;ambos sexos;1989TII;80,2
buscan primer empleo;menos de 6 meses;ambos sexos;1989TI;104,8
buscan primer empleo;menos de 6 meses;ambos sexos;1988TIV;149,6
buscan primer empleo;menos de 6 meses;ambos sexos;1988TIII;147,4
buscan primer empleo;menos de 6 meses;ambos sexos;1988TII;112,9
buscan primer empleo;menos de 6 meses;ambos sexos;1988TI;124,3
buscan primer empleo;menos de 6 meses;ambos sexos;1987TIV;160,9
buscan primer empleo;menos de 6 meses;ambos sexos;1987TIII;143,1
buscan primer empleo;menos de 6 meses;ambos sexos;1987TII;104,8
buscan primer empleo;menos de 6 meses;ambos sexos;1987TI;210,8
buscan primer empleo;menos de 6 meses;ambos sexos;1986TIV;239,2
buscan primer empleo;menos de 6 meses;ambos sexos;1986TIII;207,1
buscan primer empleo;menos de 6 meses;ambos sexos;1986TII;165,1
buscan primer empleo;menos de 6 meses;ambos sexos;1986TI;193,2
buscan primer empleo;menos de 6 meses;ambos sexos;1985TIV;233,3
buscan primer empleo;menos de 6 meses;ambos sexos;1985TIII;225,5
buscan primer empleo;menos de 6 meses;ambos sexos;1985TII;185,3
buscan primer empleo;menos de 6 meses;ambos sexos;1985TI;197,7
buscan primer empleo;menos de 6 meses;ambos sexos;1984TIV;242,3
buscan primer empleo;menos de 6 meses;ambos sexos;1984TIII;229,1
buscan primer empleo;menos de 6 meses;ambos sexos;1984TII;178,9
buscan primer empleo;menos de 6 meses;ambos sexos;1984TI;203,3
buscan primer empleo;menos de 6 meses;ambos sexos;1983TIV;218,4
buscan primer empleo;menos de 6 meses;ambos sexos;1983TIII;203,4
buscan primer empleo;menos de 6 meses;ambos sexos;1983TII;145,7
buscan primer empleo;menos de 6 meses;ambos sexos;1983TI;196,7
buscan primer empleo;menos de 6 meses;ambos sexos;1982TIV;229,5
buscan primer empleo;menos de 6 meses;ambos sexos;1982TIII;194,9
buscan primer empleo;menos de 6 meses;ambos sexos;1982TII;137,3
buscan primer empleo;menos de 6 meses;ambos sexos;1982TI;166,8
buscan primer empleo;menos de 6 meses;ambos sexos;1981TIV;206,2
buscan primer empleo;menos de 6 meses;ambos sexos;1981TIII;187,8
buscan primer empleo;menos de 6 meses;ambos sexos;1981TII;153,4
buscan primer empleo;menos de 6 meses;ambos sexos;1981TI;173,8
buscan primer empleo;menos de 6 meses;ambos sexos;1980TIV;205,9
buscan primer empleo;menos de 6 meses;ambos sexos;1980TIII;193,9
buscan primer empleo;menos de 6 meses;ambos sexos;1980TII;151,1
buscan primer empleo;menos de 6 meses;ambos sexos;1980TI;150,5
buscan primer empleo;menos de 6 meses;ambos sexos;1979TIV;192,4
buscan primer empleo;menos de 6 meses;ambos sexos;1979TIII;169,1
buscan primer empleo;menos de 6 meses;ambos sexos;1979TII;122,0
buscan primer empleo;menos de 6 meses;ambos sexos;1979TI;124,9
buscan primer empleo;menos de 6 meses;ambos sexos;1978TIV;155,1
buscan primer empleo;menos de 6 meses;ambos sexos;1978TIII;157,0
buscan primer empleo;menos de 6 meses;ambos sexos;1978TII;107,7
buscan primer empleo;menos de 6 meses;ambos sexos;1978TI;105,6
buscan primer empleo;menos de 6 meses;ambos sexos;1977TIV;131,7
buscan primer empleo;menos de 6 meses;ambos sexos;1977TIII;121,8
buscan primer empleo;menos de 6 meses;ambos sexos;1977TII;80,9
buscan primer empleo;menos de 6 meses;ambos sexos;1977TI;96,8
buscan primer empleo;menos de 6 meses;ambos sexos;1976TIV;114,6
buscan primer empleo;menos de 6 meses;ambos sexos;1976TIII;99,7
buscan primer empleo;menos de 6 meses;varones;1995TIV;82,2
buscan primer empleo;menos de 6 meses;varones;1995TIII;80,9
buscan primer empleo;menos de 6 meses;varones;1995TII;57,1
buscan primer empleo;menos de 6 meses;varones;1995TI;67,0
buscan primer empleo;menos de 6 meses;varones;1994TIV;87,3
buscan primer empleo;menos de 6 meses;varones;1994TIII;86,7
buscan primer empleo;menos de 6 meses;varones;1994TII;59,6
buscan primer empleo;menos de 6 meses;varones;1994TI;72,6
buscan primer empleo;menos de 6 meses;varones;1993TIV;89,1
buscan primer empleo;menos de 6 meses;varones;1993TIII;66,9
buscan primer empleo;menos de 6 meses;varones;1993TII;57,5
buscan primer empleo;menos de 6 meses;varones;1993TI;63,1
buscan primer empleo;menos de 6 meses;varones;1992TIV;76,6
buscan primer empleo;menos de 6 meses;varones;1992TIII;66,5
buscan primer empleo;menos de 6 meses;varones;1992TII;48,0
buscan primer empleo;menos de 6 meses;varones;1992TI;49,9
buscan primer empleo;menos de 6 meses;varones;1991TIV;62,4
buscan primer empleo;menos de 6 meses;varones;1991TIII;50,0
buscan primer empleo;menos de 6 meses;varones;1991TII;35,1
buscan primer empleo;menos de 6 meses;varones;1991TI;40,5
buscan primer empleo;menos de 6 meses;varones;1990TIV;61,4
buscan primer empleo;menos de 6 meses;varones;1990TIII;58,7
buscan primer empleo;menos de 6 meses;varones;1990TII;35,4
buscan primer empleo;menos de 6 meses;varones;1990TI;47,2
buscan primer empleo;menos de 6 meses;varones;1989TIV;60,4
buscan primer empleo;menos de 6 meses;varones;1989TIII;61,6
buscan primer empleo;menos de 6 meses;varones;1989TII;40,8
buscan primer empleo;menos de 6 meses;varones;1989TI;46,3
buscan primer empleo;menos de 6 meses;varones;1988TIV;70,6
buscan primer empleo;menos de 6 meses;varones;1988TIII;73,9
buscan primer empleo;menos de 6 meses;varones;1988TII;65,5
buscan primer empleo;menos de 6 meses;varones;1988TI;63,8
buscan primer empleo;menos de 6 meses;varones;1987TIV;73,0
buscan primer empleo;menos de 6 meses;varones;1987TIII;71,2
buscan primer empleo;menos de 6 meses;varones;1987TII;57,0
buscan primer empleo;menos de 6 meses;varones;1987TI;106,7
buscan primer empleo;menos de 6 meses;varones;1986TIV;127,4
buscan primer empleo;menos de 6 meses;varones;1986TIII;116,9
buscan primer empleo;menos de 6 meses;varones;1986TII;97,1
buscan primer empleo;menos de 6 meses;varones;1986TI;108,1
buscan primer empleo;menos de 6 meses;varones;1985TIV;124,6
buscan primer empleo;menos de 6 meses;varones;1985TIII;122,6
buscan primer empleo;menos de 6 meses;varones;1985TII;99,1
buscan primer empleo;menos de 6 meses;varones;1985TI;113,8
buscan primer empleo;menos de 6 meses;varones;1984TIV;136,2
buscan primer empleo;menos de 6 meses;varones;1984TIII;126,9
buscan primer empleo;menos de 6 meses;varones;1984TII;105,6
buscan primer empleo;menos de 6 meses;varones;1984TI;121,5
buscan primer empleo;menos de 6 meses;varones;1983TIV;122,1
buscan primer empleo;menos de 6 meses;varones;1983TIII;118,3
buscan primer empleo;menos de 6 meses;varones;1983TII;89,9
buscan primer empleo;menos de 6 meses;varones;1983TI;110,7
buscan primer empleo;menos de 6 meses;varones;1982TIV;122,2
buscan primer empleo;menos de 6 meses;varones;1982TIII;99,8
buscan primer empleo;menos de 6 meses;varones;1982TII;76,4
buscan primer empleo;menos de 6 meses;varones;1982TI;101,6
buscan primer empleo;menos de 6 meses;varones;1981TIV;115,8
buscan primer empleo;menos de 6 meses;varones;1981TIII;109,4
buscan primer empleo;menos de 6 meses;varones;1981TII;96,1
buscan primer empleo;menos de 6 meses;varones;1981TI;97,1
buscan primer empleo;menos de 6 meses;varones;1980TIV;106,5
buscan primer empleo;menos de 6 meses;varones;1980TIII;105,3
buscan primer empleo;menos de 6 meses;varones;1980TII;90,3
buscan primer empleo;menos de 6 meses;varones;1980TI;82,6
buscan primer empleo;menos de 6 meses;varones;1979TIV;103,8
buscan primer empleo;menos de 6 meses;varones;1979TIII;94,4
buscan primer empleo;menos de 6 meses;varones;1979TII;74,2
buscan primer empleo;menos de 6 meses;varones;1979TI;69,5
buscan primer empleo;menos de 6 meses;varones;1978TIV;81,0
buscan primer empleo;menos de 6 meses;varones;1978TIII;85,0
buscan primer empleo;menos de 6 meses;varones;1978TII;57,0
buscan primer empleo;menos de 6 meses;varones;1978TI;54,7
buscan primer empleo;menos de 6 meses;varones;1977TIV;68,9
buscan primer empleo;menos de 6 meses;varones;1977TIII;63,5
buscan primer empleo;menos de 6 meses;varones;1977TII;42,7
buscan primer empleo;menos de 6 meses;varones;1977TI;48,6
buscan primer empleo;menos de 6 meses;varones;1976TIV;51,5
buscan primer empleo;menos de 6 meses;varones;1976TIII;42,4
buscan primer empleo;menos de 6 meses;mujeres;1995TIV;106,5
buscan primer empleo;menos de 6 meses;mujeres;1995TIII;93,1
buscan primer empleo;menos de 6 meses;mujeres;1995TII;52,3
buscan primer empleo;menos de 6 meses;mujeres;1995TI;82,6
buscan primer empleo;menos de 6 meses;mujeres;1994TIV;110,9
buscan primer empleo;menos de 6 meses;mujeres;1994TIII;90,7
buscan primer empleo;menos de 6 meses;mujeres;1994TII;57,0
buscan primer empleo;menos de 6 meses;mujeres;1994TI;66,9
buscan primer empleo;menos de 6 meses;mujeres;1993TIV;94,5
buscan primer empleo;menos de 6 meses;mujeres;1993TIII;82,9
buscan primer empleo;menos de 6 meses;mujeres;1993TII;47,7
buscan primer empleo;menos de 6 meses;mujeres;1993TI;62,4
buscan primer empleo;menos de 6 meses;mujeres;1992TIV;89,8
buscan primer empleo;menos de 6 meses;mujeres;1992TIII;69,7
buscan primer empleo;menos de 6 meses;mujeres;1992TII;59,7
buscan primer empleo;menos de 6 meses;mujeres;1992TI;57,6
buscan primer empleo;menos de 6 meses;mujeres;1991TIV;64,5
buscan primer empleo;menos de 6 meses;mujeres;1991TIII;61,3
buscan primer empleo;menos de 6 meses;mujeres;1991TII;39,2
buscan primer empleo;menos de 6 meses;mujeres;1991TI;51,5
buscan primer empleo;menos de 6 meses;mujeres;1990TIV;61,6
buscan primer empleo;menos de 6 meses;mujeres;1990TIII;59,9
buscan primer empleo;menos de 6 meses;mujeres;1990TII;36,4
buscan primer empleo;menos de 6 meses;mujeres;1990TI;53,8
buscan primer empleo;menos de 6 meses;mujeres;1989TIV;73,3
buscan primer empleo;menos de 6 meses;mujeres;1989TIII;62,5
buscan primer empleo;menos de 6 meses;mujeres;1989TII;39,5
buscan primer empleo;menos de 6 meses;mujeres;1989TI;58,5
buscan primer empleo;menos de 6 meses;mujeres;1988TIV;79,0
buscan primer empleo;menos de 6 meses;mujeres;1988TIII;73,6
buscan primer empleo;menos de 6 meses;mujeres;1988TII;47,4
buscan primer empleo;menos de 6 meses;mujeres;1988TI;60,5
buscan primer empleo;menos de 6 meses;mujeres;1987TIV;87,9
buscan primer empleo;menos de 6 meses;mujeres;1987TIII;71,9
buscan primer empleo;menos de 6 meses;mujeres;1987TII;47,9
buscan primer empleo;menos de 6 meses;mujeres;1987TI;104,1
buscan primer empleo;menos de 6 meses;mujeres;1986TIV;111,8
buscan primer empleo;menos de 6 meses;mujeres;1986TIII;90,2
buscan primer empleo;menos de 6 meses;mujeres;1986TII;68,0
buscan primer empleo;menos de 6 meses;mujeres;1986TI;85,1
buscan primer empleo;menos de 6 meses;mujeres;1985TIV;108,7
buscan primer empleo;menos de 6 meses;mujeres;1985TIII;103,0
buscan primer empleo;menos de 6 meses;mujeres;1985TII;86,2
buscan primer empleo;menos de 6 meses;mujeres;1985TI;83,9
buscan primer empleo;menos de 6 meses;mujeres;1984TIV;106,2
buscan primer empleo;menos de 6 meses;mujeres;1984TIII;102,2
buscan primer empleo;menos de 6 meses;mujeres;1984TII;73,4
buscan primer empleo;menos de 6 meses;mujeres;1984TI;81,8
buscan primer empleo;menos de 6 meses;mujeres;1983TIV;96,3
buscan primer empleo;menos de 6 meses;mujeres;1983TIII;85,0
buscan primer empleo;menos de 6 meses;mujeres;1983TII;55,8
buscan primer empleo;menos de 6 meses;mujeres;1983TI;86,0
buscan primer empleo;menos de 6 meses;mujeres;1982TIV;107,3
buscan primer empleo;menos de 6 meses;mujeres;1982TIII;95,1
buscan primer empleo;menos de 6 meses;mujeres;1982TII;60,9
buscan primer empleo;menos de 6 meses;mujeres;1982TI;65,1
buscan primer empleo;menos de 6 meses;mujeres;1981TIV;90,4
buscan primer empleo;menos de 6 meses;mujeres;1981TIII;78,5
buscan primer empleo;menos de 6 meses;mujeres;1981TII;57,3
buscan primer empleo;menos de 6 meses;mujeres;1981TI;76,7
buscan primer empleo;menos de 6 meses;mujeres;1980TIV;99,5
buscan primer empleo;menos de 6 meses;mujeres;1980TIII;88,6
buscan primer empleo;menos de 6 meses;mujeres;1980TII;60,7
buscan primer empleo;menos de 6 meses;mujeres;1980TI;67,9
buscan primer empleo;menos de 6 meses;mujeres;1979TIV;88,7
buscan primer empleo;menos de 6 meses;mujeres;1979TIII;74,7
buscan primer empleo;menos de 6 meses;mujeres;1979TII;47,7
buscan primer empleo;menos de 6 meses;mujeres;1979TI;55,4
buscan primer empleo;menos de 6 meses;mujeres;1978TIV;74,1
buscan primer empleo;menos de 6 meses;mujeres;1978TIII;72,1
buscan primer empleo;menos de 6 meses;mujeres;1978TII;50,8
buscan primer empleo;menos de 6 meses;mujeres;1978TI;51,0
buscan primer empleo;menos de 6 meses;mujeres;1977TIV;62,8
buscan primer empleo;menos de 6 meses;mujeres;1977TIII;58,4
buscan primer empleo;menos de 6 meses;mujeres;1977TII;38,2
buscan primer empleo;menos de 6 meses;mujeres;1977TI;48,2
buscan primer empleo;menos de 6 meses;mujeres;1976TIV;63,0
buscan primer empleo;menos de 6 meses;mujeres;1976TIII;57,4
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1995TIV;76,8
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1995TIII;99,6
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1995TII;145,2
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1995TI;121,4
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1994TIV;94,7
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1994TIII;112,5
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1994TII;155,1
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1994TI;110,9
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1993TIV;76,5
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1993TIII;108,1
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1993TII;125,3
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1993TI;98,2
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1992TIV;71,7
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1992TIII;91,2
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1992TII;96,8
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1992TI;96,2
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1991TIV;67,0
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1991TIII;70,7
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1991TII;84,0
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1991TI;79,5
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1990TIV;63,0
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1990TIII;68,1
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1990TII;88,7
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1990TI;87,0
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1989TIV;67,3
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1989TIII;75,2
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1989TII;101,2
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1989TI;102,3
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1988TIV;87,0
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1988TIII;95,1
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1988TII;119,3
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1988TI;115,2
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1987TIV;89,9
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1987TIII;85,3
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1987TII;115,1
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1987TI;189,7
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1986TIV;168,8
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1986TIII;189,6
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1986TII;202,6
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1986TI;205,1
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1985TIV;190,1
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1985TIII;201,5
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1985TII;196,4
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1985TI;205,6
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1984TIV;202,4
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1984TIII;184,1
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1984TII;198,9
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1984TI;194,0
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1983TIV;171,3
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1983TIII;178,4
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1983TII;204,9
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1983TI;208,1
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1982TIV;171,7
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1982TIII;173,2
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1982TII;189,7
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1982TI;179,3
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1981TIV;176,2
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1981TIII;160,8
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1981TII;185,4
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1981TI;164,2
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1980TIV;145,1
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1980TIII;142,0
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1980TII;155,4
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1980TI;141,5
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1979TIV;113,0
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1979TIII;102,0
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1979TII;113,2
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1979TI;109,2
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1978TIV;87,0
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1978TIII;86,6
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1978TII;93,3
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1978TI;80,3
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1977TIV;57,9
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1977TIII;63,1
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1977TII;62,4
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1977TI;54,4
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1976TIV;38,9
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1976TIII;41,3
buscan primer empleo;de 6 meses a 1 año;varones;1995TIV;32,5
buscan primer empleo;de 6 meses a 1 año;varones;1995TIII;39,9
buscan primer empleo;de 6 meses a 1 año;varones;1995TII;58,2
buscan primer empleo;de 6 meses a 1 año;varones;1995TI;52,8
buscan primer empleo;de 6 meses a 1 año;varones;1994TIV;41,4
buscan primer empleo;de 6 meses a 1 año;varones;1994TIII;51,8
buscan primer empleo;de 6 meses a 1 año;varones;1994TII;65,6
buscan primer empleo;de 6 meses a 1 año;varones;1994TI;50,5
buscan primer empleo;de 6 meses a 1 año;varones;1993TIV;37,2
buscan primer empleo;de 6 meses a 1 año;varones;1993TIII;54,6
buscan primer empleo;de 6 meses a 1 año;varones;1993TII;50,6
buscan primer empleo;de 6 meses a 1 año;varones;1993TI;39,8
buscan primer empleo;de 6 meses a 1 año;varones;1992TIV;31,2
buscan primer empleo;de 6 meses a 1 año;varones;1992TIII;38,0
buscan primer empleo;de 6 meses a 1 año;varones;1992TII;40,3
buscan primer empleo;de 6 meses a 1 año;varones;1992TI;36,1
buscan primer empleo;de 6 meses a 1 año;varones;1991TIV;26,6
buscan primer empleo;de 6 meses a 1 año;varones;1991TIII;27,0
buscan primer empleo;de 6 meses a 1 año;varones;1991TII;32,5
buscan primer empleo;de 6 meses a 1 año;varones;1991TI;34,9
buscan primer empleo;de 6 meses a 1 año;varones;1990TIV;26,1
buscan primer empleo;de 6 meses a 1 año;varones;1990TIII;24,8
buscan primer empleo;de 6 meses a 1 año;varones;1990TII;31,0
buscan primer empleo;de 6 meses a 1 año;varones;1990TI;36,8
buscan primer empleo;de 6 meses a 1 año;varones;1989TIV;30,6
buscan primer empleo;de 6 meses a 1 año;varones;1989TIII;30,9
buscan primer empleo;de 6 meses a 1 año;varones;1989TII;40,3
buscan primer empleo;de 6 meses a 1 año;varones;1989TI;43,0
buscan primer empleo;de 6 meses a 1 año;varones;1988TIV;40,3
buscan primer empleo;de 6 meses a 1 año;varones;1988TIII;41,8
buscan primer empleo;de 6 meses a 1 año;varones;1988TII;46,0
buscan primer empleo;de 6 meses a 1 año;varones;1988TI;45,0
buscan primer empleo;de 6 meses a 1 año;varones;1987TIV;37,2
buscan primer empleo;de 6 meses a 1 año;varones;1987TIII;34,6
buscan primer empleo;de 6 meses a 1 año;varones;1987TII;49,6
buscan primer empleo;de 6 meses a 1 año;varones;1987TI;97,8
buscan primer empleo;de 6 meses a 1 año;varones;1986TIV;90,5
buscan primer empleo;de 6 meses a 1 año;varones;1986TIII;95,0
buscan primer empleo;de 6 meses a 1 año;varones;1986TII;102,4
buscan primer empleo;de 6 meses a 1 año;varones;1986TI;104,7
buscan primer empleo;de 6 meses a 1 año;varones;1985TIV;94,5
buscan primer empleo;de 6 meses a 1 año;varones;1985TIII;105,5
buscan primer empleo;de 6 meses a 1 año;varones;1985TII;103,8
buscan primer empleo;de 6 meses a 1 año;varones;1985TI;115,0
buscan primer empleo;de 6 meses a 1 año;varones;1984TIV;110,6
buscan primer empleo;de 6 meses a 1 año;varones;1984TIII;99,0
buscan primer empleo;de 6 meses a 1 año;varones;1984TII;105,8
buscan primer empleo;de 6 meses a 1 año;varones;1984TI;100,4
buscan primer empleo;de 6 meses a 1 año;varones;1983TIV;95,8
buscan primer empleo;de 6 meses a 1 año;varones;1983TIII;101,2
buscan primer empleo;de 6 meses a 1 año;varones;1983TII;104,3
buscan primer empleo;de 6 meses a 1 año;varones;1983TI;105,7
buscan primer empleo;de 6 meses a 1 año;varones;1982TIV;89,1
buscan primer empleo;de 6 meses a 1 año;varones;1982TIII;91,8
buscan primer empleo;de 6 meses a 1 año;varones;1982TII;106,0
buscan primer empleo;de 6 meses a 1 año;varones;1982TI;97,9
buscan primer empleo;de 6 meses a 1 año;varones;1981TIV;92,0
buscan primer empleo;de 6 meses a 1 año;varones;1981TIII;79,9
buscan primer empleo;de 6 meses a 1 año;varones;1981TII;91,1
buscan primer empleo;de 6 meses a 1 año;varones;1981TI;82,9
buscan primer empleo;de 6 meses a 1 año;varones;1980TIV;74,1
buscan primer empleo;de 6 meses a 1 año;varones;1980TIII;66,4
buscan primer empleo;de 6 meses a 1 año;varones;1980TII;74,5
buscan primer empleo;de 6 meses a 1 año;varones;1980TI;67,1
buscan primer empleo;de 6 meses a 1 año;varones;1979TIV;52,8
buscan primer empleo;de 6 meses a 1 año;varones;1979TIII;45,7
buscan primer empleo;de 6 meses a 1 año;varones;1979TII;52,8
buscan primer empleo;de 6 meses a 1 año;varones;1979TI;57,0
buscan primer empleo;de 6 meses a 1 año;varones;1978TIV;45,5
buscan primer empleo;de 6 meses a 1 año;varones;1978TIII;43,4
buscan primer empleo;de 6 meses a 1 año;varones;1978TII;46,2
buscan primer empleo;de 6 meses a 1 año;varones;1978TI;36,5
buscan primer empleo;de 6 meses a 1 año;varones;1977TIV;26,4
buscan primer empleo;de 6 meses a 1 año;varones;1977TIII;26,4
buscan primer empleo;de 6 meses a 1 año;varones;1977TII;29,3
buscan primer empleo;de 6 meses a 1 año;varones;1977TI;26,1
buscan primer empleo;de 6 meses a 1 año;varones;1976TIV;20,0
buscan primer empleo;de 6 meses a 1 año;varones;1976TIII;20,1
buscan primer empleo;de 6 meses a 1 año;mujeres;1995TIV;44,3
buscan primer empleo;de 6 meses a 1 año;mujeres;1995TIII;59,7
buscan primer empleo;de 6 meses a 1 año;mujeres;1995TII;87,0
buscan primer empleo;de 6 meses a 1 año;mujeres;1995TI;68,5
buscan primer empleo;de 6 meses a 1 año;mujeres;1994TIV;53,3
buscan primer empleo;de 6 meses a 1 año;mujeres;1994TIII;60,7
buscan primer empleo;de 6 meses a 1 año;mujeres;1994TII;89,4
buscan primer empleo;de 6 meses a 1 año;mujeres;1994TI;60,4
buscan primer empleo;de 6 meses a 1 año;mujeres;1993TIV;39,3
buscan primer empleo;de 6 meses a 1 año;mujeres;1993TIII;53,5
buscan primer empleo;de 6 meses a 1 año;mujeres;1993TII;74,7
buscan primer empleo;de 6 meses a 1 año;mujeres;1993TI;58,4
buscan primer empleo;de 6 meses a 1 año;mujeres;1992TIV;40,5
buscan primer empleo;de 6 meses a 1 año;mujeres;1992TIII;53,2
