Según hayan o no trabajado antes;Tiempo de búsqueda de empleo;Sexo;Periodo;Total
buscan primer empleo;total;mujeres;1999TII;415,2
buscan primer empleo;total;mujeres;1999TI;425,5
buscan primer empleo;total;mujeres;1998TIV;491,5
buscan primer empleo;total;mujeres;1998TIII;505,7
buscan primer empleo;total;mujeres;1998TII;467,0
buscan primer empleo;total;mujeres;1998TI;476,1
buscan primer empleo;total;mujeres;1997TIV;519,5
buscan primer empleo;total;mujeres;1997TIII;517,9
buscan primer empleo;total;mujeres;1997TII;495,8
buscan primer empleo;total;mujeres;1997TI;494,4
buscan primer empleo;total;mujeres;1996TIV;512,4
buscan primer empleo;total;mujeres;1996TIII;518,9
buscan primer empleo;total;mujeres;1996TII;489,0
buscan primer empleo;total;mujeres;1996TI;506,8
buscan primer empleo;menos de 6 meses;ambos sexos;2001TIV;112,3
buscan primer empleo;menos de 6 meses;ambos sexos;2001TIII;103,5
buscan primer empleo;menos de 6 meses;ambos sexos;2001TII;78,4
buscan primer empleo;menos de 6 meses;ambos sexos;2001TI;75,5
buscan primer empleo;menos de 6 meses;ambos sexos;2000TIV;137,3
buscan primer empleo;menos de 6 meses;ambos sexos;2000TIII;148,1
buscan primer empleo;menos de 6 meses;ambos sexos;2000TII;106,0
buscan primer empleo;menos de 6 meses;ambos sexos;2000TI;125,8
buscan primer empleo;menos de 6 meses;ambos sexos;1999TIV;165,4
buscan primer empleo;menos de 6 meses;ambos sexos;1999TIII;157,5
buscan primer empleo;menos de 6 meses;ambos sexos;1999TII;121,3
buscan primer empleo;menos de 6 meses;ambos sexos;1999TI;138,2
buscan primer empleo;menos de 6 meses;ambos sexos;1998TIV;205,8
buscan primer empleo;menos de 6 meses;ambos sexos;1998TIII;181,9
buscan primer empleo;menos de 6 meses;ambos sexos;1998TII;125,1
buscan primer empleo;menos de 6 meses;ambos sexos;1998TI;156,3
buscan primer empleo;menos de 6 meses;ambos sexos;1997TIV;198,0
buscan primer empleo;menos de 6 meses;ambos sexos;1997TIII;175,1
buscan primer empleo;menos de 6 meses;ambos sexos;1997TII;124,0
buscan primer empleo;menos de 6 meses;ambos sexos;1997TI;143,7
buscan primer empleo;menos de 6 meses;ambos sexos;1996TIV;197,8
buscan primer empleo;menos de 6 meses;ambos sexos;1996TIII;178,2
