Sexo;Grupo de edad (5);Periodo;Total
ambos sexos;de 55 y más años;1995TIII;8.325,9
ambos sexos;de 55 y más años;1995TII;8.303,5
ambos sexos;de 55 y más años;1995TI;8.270,4
ambos sexos;de 55 y más años;1994TIV;8.260,5
ambos sexos;de 55 y más años;1994TIII;8.225,0
ambos sexos;de 55 y más años;1994TII;8.176,0
ambos sexos;de 55 y más años;1994TI;8.156,0
ambos sexos;de 55 y más años;1993TIV;8.100,6
ambos sexos;de 55 y más años;1993TIII;8.051,8
ambos sexos;de 55 y más años;1993TII;8.009,6
ambos sexos;de 55 y más años;1993TI;7.986,3
ambos sexos;de 55 y más años;1992TIV;7.945,4
ambos sexos;de 55 y más años;1992TIII;7.899,8
ambos sexos;de 55 y más años;1992TII;7.882,3
ambos sexos;de 55 y más años;1992TI;7.867,3
ambos sexos;de 55 y más años;1991TIV;7.818,7
ambos sexos;de 55 y más años;1991TIII;7.816,0
ambos sexos;de 55 y más años;1991TII;7.776,1
ambos sexos;de 55 y más años;1991TI;7.745,9
ambos sexos;de 55 y más años;1990TIV;7.742,7
ambos sexos;de 55 y más años;1990TIII;7.721,6
ambos sexos;de 55 y más años;1990TII;7.680,5
ambos sexos;de 55 y más años;1990TI;7.616,3
ambos sexos;de 55 y más años;1989TIV;7.586,5
ambos sexos;de 55 y más años;1989TIII;7.538,2
ambos sexos;de 55 y más años;1989TII;7.494,8
ambos sexos;de 55 y más años;1989TI;7.469,5
ambos sexos;de 55 y más años;1988TIV;7.415,3
ambos sexos;de 55 y más años;1988TIII;7.370,2
ambos sexos;de 55 y más años;1988TII;7.335,9
ambos sexos;de 55 y más años;1988TI;7.263,2
ambos sexos;de 55 y más años;1987TIV;7.208,0
ambos sexos;de 55 y más años;1987TIII;7.150,7
ambos sexos;de 55 y más años;1987TII;7.109,8
ambos sexos;de 55 y más años;1987TI;7.038,2
ambos sexos;de 55 y más años;1986TIV;6.976,6
ambos sexos;de 55 y más años;1986TIII;6.916,7
ambos sexos;de 55 y más años;1986TII;6.857,7
ambos sexos;de 55 y más años;1986TI;6.808,9
ambos sexos;de 55 y más años;1985TIV;6.753,1
ambos sexos;de 55 y más años;1985TIII;6.700,8
ambos sexos;de 55 y más años;1985TII;6.644,6
ambos sexos;de 55 y más años;1985TI;6.601,9
ambos sexos;de 55 y más años;1984TIV;6.536,2
ambos sexos;de 55 y más años;1984TIII;6.484,0
ambos sexos;de 55 y más años;1984TII;6.432,5
ambos sexos;de 55 y más años;1984TI;6.370,3
ambos sexos;de 55 y más años;1983TIV;6.285,3
ambos sexos;de 55 y más años;1983TIII;6.237,7
ambos sexos;de 55 y más años;1983TII;6.204,9
ambos sexos;de 55 y más años;1983TI;6.175,9
ambos sexos;de 55 y más años;1982TIV;6.115,9
ambos sexos;de 55 y más años;1982TIII;6.067,9
