fecha,año,mes,ed_pasivo_total,ed_pasivo_depositos_total,ed_pasivo_depositos_esp,ed_pasivo_depositos_sector_publico,ed_pasivo_sector_privado,ed_pasivo_deposito_resto_mundo,ed_pasivo_deuda_emitida,ed_pasivo_patrimonio_ajustes,ec_efc_pasivo_obra_social,ed_pasivo_periodificacion_otros,depositos_share,crecimiento_depositos_yoy,deuda_emitida_share
2002-10-01,2002,12,,1706106.3708205628,235908.64632236847,64206.49756666023,971238.3523197884,434752.8746117455,102278.75483626808,,2841.6262978586174,116837.74874167958,,3.3527985044624398,
2003-01-01,2003,3,,1728550.8969630292,234625.34263084084,57469.31383520539,975877.0185394096,460579.2219575738,121298.74354075736,,3060.5986873234915,115183.49235924262,,4.704652696773248,
2003-04-01,2003,6,,1771278.8865558207,245041.43863864476,59922.840627308615,1000243.7824956056,466070.8247942618,127411.27254556744,,3730.216439179722,125539.79446497258,,5.996910444624537,
2003-07-01,2003,9,,1794385.85266973,242284.6835146928,57900.753260081416,999160.3484737312,495040.067421225,138321.5311608892,,3410.292479773566,118736.23461814654,,6.374923797025289,
2003-10-01,2003,12,,1840481.7049508677,265211.6942151389,55123.96671306425,1024160.6162192884,495985.4278033761,162864.65002926567,,2938.5752136615115,114446.6840662014,,7.8761404580932615,
2004-01-01,2004,3,,1863127.8762019544,244787.49916518977,62066.908776426586,1053947.3404218198,502326.127838518,193179.6022491516,,3195.5097611865253,116771.6260944884,,7.7855375549177985,
2004-04-01,2004,6,,1915481.42048714,237959.64699553896,60754.22606851463,1084367.1669696034,532400.3804534825,201776.066873554,,3805.81744185331,126787.88950559928,,8.141153548762459,
2004-07-01,2004,9,,1931999.5588069384,255511.18721281117,69708.33743298618,1092740.8119617945,514039.2221993468,226658.7339187823,,3486.578073823021,124244.97204674018,,7.669125675086175,
2004-10-01,2004,12,,1953375.4929869063,258894.73144406217,64818.10496172351,1136927.9578185142,492734.69876260665,252502.982848782,,2960.890431973204,128629.22510730816,,6.133926120121491,
2005-01-01,2005,3,,2021309.198938313,279809.7994091406,64818.83452722742,1171220.0669400755,505460.4980618695,293663.0988082837,,3223.806772790811,130624.6511939042,,8.490094789350477,
2005-04-01,2005,6,2895762.839581166,2145668.287135843,281155.7657029889,63613.52119863382,1286489.402480969,514409.5977532514,306326.02079358074,237098.110561717,4205.764787853478,202464.6563021716,74.09682373872116,12.01718086047332,10.578422259120044
2005-07-01,2005,9,2946631.2690307125,2177329.9974454683,259889.9239044791,76930.32656469053,1302888.6168187007,537621.1301575978,328452.474939052,240493.6514886243,3879.8023983010585,196475.34275926705,73.89217715597296,12.698265769275242,11.146711106717323
2005-10-01,2005,12,3077279.2034814777,2296617.629216596,281675.24020761414,81800.16684759891,1377566.6468896617,555575.5752717212,354648.91213986726,237193.19275170245,3341.979476165316,185477.48989714688,74.63143502280583,17.571743756487802,11.524755756274422
2006-01-01,2006,3,3156679.845028815,2336065.360778025,260364.70215565764,78794.40000479757,1426369.0773276386,570537.181289931,401902.0102591563,230730.6808000234,3717.947186256728,184263.84600535335,74.00387354634314,15.571895779479794,12.731795113529722
2006-04-01,2006,6,3216052.568684852,2354715.209945701,269416.02667414764,71820.38106747216,1490779.6748202562,522699.1273838251,423169.1564175755,224650.203632017,4551.430574532201,208966.568115027,73.2175597150957,9.742741879682871,13.158029832535451
2006-07-01,2006,9,3367295.200998268,2456021.210547212,277323.6479138866,93254.5790595925,1557492.0115969635,527950.9719767689,458743.03896017536,243748.43632428136,4259.908942283273,204522.606224316,72.93750811687374,12.799677284964407,13.623487445477794
