fecha,año,mes,ed_activo_total,ed_activo_creditos_esp,ed_activo_credito_sector_publico,ed_activo_credito_sector_privado,ed_activo_creditos_resto_mundo,ed_activo_renta_fija_esp,ed_activo_renta_fija_resto_mundo,ed_activo_acciones_esp,ed_activo_acciones_resto_mundo,ed_activo_efectivo,ed_activo_otros_residual,credito_privado_share,crecimiento_credito_yoy
1999-01-01,1999,3,1644335.142893854,263355.0382733119,52690.63531014323,736631.8872785005,162181.6519557878,205381.14784573225,35769.01016935838,56645.41075328852,17194.34386915376,7866.134592407191,106619.88099338644,44.79815994092951,13.092652294067065
1999-04-01,1999,6,1668316.1135027297,248215.85673871744,54157.18909925025,784173.0972286724,138472.36460299898,203120.46400924443,43954.32097983695,64305.24213226088,17952.671615482603,7759.70830277333,106205.19325698791,47.00386760529777,15.30864369466276
1999-07-01,1999,9,1675680.0176643133,246953.0564349157,50502.97390923498,791851.7459272799,144505.95518747298,202496.0959836479,42361.26227672525,62488.68305427892,21164.487047939776,7568.817868390721,105786.93632171156,47.255546260617315,13.620804980092327
1999-10-01,1999,12,1745099.874449112,264599.4638796376,52166.6839086807,813771.7162348875,152163.69891125913,205816.71677632144,40777.38761674545,67552.63025418993,23388.28052102134,12300.61679064604,112562.68137161582,46.63181335061276,11.606492854149963
2000-01-01,2000,3,1744826.068036531,236011.3319008805,51770.61568829879,835148.4465770734,156245.63677573844,201338.1974491977,41685.57700124255,69848.02842161318,28848.598065712868,7308.203980225789,116621.43577687448,47.86428067967105,13.373919999926166
2000-04-01,2000,6,1773236.4310609514,218360.30392690736,51003.834737999714,872243.9302178349,152660.0937831503,202577.82155500425,36822.82525154842,71816.40475724943,40109.402954075165,7971.270308136261,119670.54178459317,49.18937570530059,11.231044944083335
2000-07-01,2000,9,1802064.2805924823,216234.0876798569,49096.8783477974,886027.76741266,160575.75806017235,198763.4703478322,39375.94444191218,76095.60416860064,44351.23762889106,7959.228553397724,123584.30395136189,49.16737859769086,11.893138074109743
2000-10-01,2000,12,1880996.405526698,226448.45010069583,50329.63741597768,919938.2322712898,164182.32409501172,198568.7936703872,43608.81306111341,84154.48172343943,47370.82946486151,9408.891024114648,136985.9526998071,48.906963860661804,13.04622831174418
2001-01-01,2001,3,1924719.7104460965,231525.79095898272,50303.57465043067,919275.02674207,195824.32614287664,198869.90406446537,53305.394039444895,84985.43636618128,49046.69759307492,7472.654677741317,134110.90694404565,47.76150115535563,10.07324871521902
2001-04-01,2001,6,1941005.2771757927,210491.48312434164,50808.61258244429,952275.5255330856,177843.97804486833,201432.00479071573,63528.91547869682,85866.23061627278,48288.16824918974,8354.409653241053,142115.95081485482,49.0609446934976,9.175368557195185
