Sexo;Grupos de edad (4);Relación con la actividad económica;Periodo;Total
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;2001TII;108,7
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;2001TI;110,3
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;2000TIV;173,3
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;2000TIII;182,9
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;2000TII;170,9
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;2000TI;192,7
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1999TIV;214,1
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1999TIII;238,3
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1999TII;224,1
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1999TI;235,8
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1998TIV;279,0
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1998TIII;292,3
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1998TII;268,4
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1998TI;272,6
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1997TIV;299,3
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1997TIII;292,7
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1997TII;281,6
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1997TI;301,8
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1996TIV;312,9
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1996TIII;315,7
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1996TII;298,0
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;1996TI;311,2
Ambos sexos;De 20 a 24 años;Inactivos;2001TIV;1.221,3
Ambos sexos;De 20 a 24 años;Inactivos;2001TIII;1.204,3
Ambos sexos;De 20 a 24 años;Inactivos;2001TII;1.272,1
Ambos sexos;De 20 a 24 años;Inactivos;2001TI;1.296,6
