Edad;Sexo;Unidad;Periodo;Total
Total;Mujeres;Porcentaje;2024T3;100,0
Total;Mujeres;Porcentaje;2024T2;100,0
Total;Mujeres;Porcentaje;2024T1;100,0
Total;Mujeres;Porcentaje;2023T4;100,0
Total;Mujeres;Porcentaje;2023T3;100,0
Total;Mujeres;Porcentaje;2023T2;100,0
Total;Mujeres;Porcentaje;2023T1;100,0
Total;Mujeres;Porcentaje;2022T4;100,0
Total;Mujeres;Porcentaje;2022T3;100,0
Total;Mujeres;Porcentaje;2022T2;100,0
Total;Mujeres;Porcentaje;2022T1;100,0
Total;Mujeres;Porcentaje;2021T4;100,0
Total;Mujeres;Porcentaje;2021T3;100,0
Total;Mujeres;Porcentaje;2021T2;100,0
Total;Mujeres;Porcentaje;2021T1;100,0
Total;Mujeres;Porcentaje;2020T4;100,0
Total;Mujeres;Porcentaje;2020T3;100,0
Total;Mujeres;Porcentaje;2020T2;100,0
Total;Mujeres;Porcentaje;2020T1;100,0
Total;Mujeres;Porcentaje;2019T4;100,0
Total;Mujeres;Porcentaje;2019T3;100,0
