Sexo;Sector económico;Periodo;Total
varones;construcción;1992TIV;1.180,7
varones;construcción;1992TIII;1.210,8
varones;construcción;1992TII;1.226,2
varones;construcción;1992TI;1.221,8
varones;construcción;1991TIV;1.286,9
varones;construcción;1991TIII;1.309,2
varones;construcción;1991TII;1.293,4
varones;construcción;1991TI;1.277,1
varones;construcción;1990TIV;1.269,0
varones;construcción;1990TIII;1.264,2
varones;construcción;1990TII;1.226,5
varones;construcción;1990TI;1.185,4
varones;construcción;1989TIV;1.193,3
varones;construcción;1989TIII;1.187,5
varones;construcción;1989TII;1.122,9
varones;construcción;1989TI;1.112,8
varones;construcción;1988TIV;1.118,8
varones;construcción;1988TIII;1.095,3
varones;construcción;1988TII;1.018,5
varones;construcción;1988TI;979,6
varones;construcción;1987TIV;994,1
varones;construcción;1987TIII;974,5
varones;construcción;1987TII;935,8
varones;construcción;1987TI;897,6
varones;construcción;1986TIV;899,4
varones;construcción;1986TIII;887,1
varones;construcción;1986TII;828,5
varones;construcción;1986TI;790,1
varones;construcción;1985TIV;820,1
varones;construcción;1985TIII;822,4
varones;construcción;1985TII;800,5
varones;construcción;1985TI;775,0
varones;construcción;1984TIV;827,3
varones;construcción;1984TIII;868,1
varones;construcción;1984TII;856,8
varones;construcción;1984TI;846,4
varones;construcción;1983TIV;943,4
varones;construcción;1983TIII;1.000,5
varones;construcción;1983TII;992,5
varones;construcción;1983TI;942,2
varones;construcción;1982TIV;984,7
varones;construcción;1982TIII;1.008,6
varones;construcción;1982TII;1.012,4
varones;construcción;1982TI;982,4
varones;construcción;1981TIV;1.008,1
varones;construcción;1981TIII;1.014,3
varones;construcción;1981TII;997,9
varones;construcción;1981TI;999,1
varones;construcción;1980TIV;1.043,7
varones;construcción;1980TIII;1.088,0
varones;construcción;1980TII;1.101,6
varones;construcción;1980TI;1.083,7
varones;construcción;1979TIV;1.125,1
