Sexo;Edad;Tipo de administración;Periodo;Total
Ambos sexos;Total;Local;2007T3;653,3
Ambos sexos;Total;Local;2007T2;631,5
Ambos sexos;Total;Local;2007T1;648,8
Ambos sexos;Total;Local;2006T4;640,3
Ambos sexos;Total;Local;2006T3;653
Ambos sexos;Total;Local;2006T2;624,9
Ambos sexos;Total;Local;2006T1;612,7
Ambos sexos;Total;Local;2005T4;610
Ambos sexos;Total;Local;2005T3;621,9
Ambos sexos;Total;Local;2005T2;604,1
Ambos sexos;Total;Local;2005T1;616
Ambos sexos;Total;Local;2004T4;615,5
Ambos sexos;Total;Local;2004T3;599,9
Ambos sexos;Total;Local;2004T2;553,6
Ambos sexos;Total;Local;2004T1;548,3
Ambos sexos;Total;Local;2003T4;552,1
Ambos sexos;Total;Local;2003T3;573,4
Ambos sexos;Total;Local;2003T2;563
Ambos sexos;Total;Local;2003T1;553,2
Ambos sexos;Total;Local;2002T4;545,3
Ambos sexos;Total;Local;2002T3;538,1
Ambos sexos;Total;Local;2002T2;508,8
Ambos sexos;Total;Local;2002T1;514,4
Ambos sexos;Total;Empresa e Institución Pública;2025T4;191,9
Ambos sexos;Total;Empresa e Institución Pública;2025T3;160,9
Ambos sexos;Total;Empresa e Institución Pública;2025T2;172,5
Ambos sexos;Total;Empresa e Institución Pública;2025T1;179,1
Ambos sexos;Total;Empresa e Institución Pública;2024T4;178,6
Ambos sexos;Total;Empresa e Institución Pública;2024T3;181,1
Ambos sexos;Total;Empresa e Institución Pública;2024T2;169
Ambos sexos;Total;Empresa e Institución Pública;2024T1;183,7
Ambos sexos;Total;Empresa e Institución Pública;2023T4;185,3
Ambos sexos;Total;Empresa e Institución Pública;2023T3;169,6
Ambos sexos;Total;Empresa e Institución Pública;2023T2;154,3
Ambos sexos;Total;Empresa e Institución Pública;2023T1;158,4
Ambos sexos;Total;Empresa e Institución Pública;2022T4;156,5
Ambos sexos;Total;Empresa e Institución Pública;2022T3;154,1
Ambos sexos;Total;Empresa e Institución Pública;2022T2;158,8
Ambos sexos;Total;Empresa e Institución Pública;2022T1;156,6
Ambos sexos;Total;Empresa e Institución Pública;2021T4;162,9
Ambos sexos;Total;Empresa e Institución Pública;2021T3;173,8
Ambos sexos;Total;Empresa e Institución Pública;2021T2;147,5
Ambos sexos;Total;Empresa e Institución Pública;2021T1;170,8
